row_index,image,mask,airport,runway,detected,n_detections,mask_max,mask_mean
0,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_000_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_000_FLSim.npy,CYEG,20,0,0,0.0,0.0
1,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_001_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_001_FLSim.npy,CYEG,20,0,0,0.0,0.0
2,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_002_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_002_FLSim.npy,CYEG,20,0,0,0.0,0.0
3,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_003_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_003_FLSim.npy,CYEG,20,0,0,0.0,0.0
4,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_004_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_004_FLSim.npy,CYEG,20,0,0,0.0,0.0
5,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_005_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_005_FLSim.npy,CYEG,20,0,0,0.0,0.0
6,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_006_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_006_FLSim.npy,CYEG,20,1,1,0.30703043937683105,6.579923501703888e-05
7,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_007_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_007_FLSim.npy,CYEG,20,1,1,0.49784326553344727,0.007042411714792252
8,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_008_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_008_FLSim.npy,CYEG,20,0,0,0.0,0.0
9,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_009_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_009_FLSim.npy,CYEG,20,0,0,0.0,0.0
10,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_010_FLSim.jpg,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_010_FLSim.npy,CYEG,20,1,1,0.3879915177822113,0.0037607066333293915
