image;height;width;type;original_dataset;scenario;airport;runway;time_to_landing;weather;night;time;lat;lon;alt;yaw;pitch;roll;slant_distance;along_track_distance;height_above_runway;lateral_path_angle;vertical_path_angle;watermark_height;runway_in_cone;x_TR;y_TR;x_TL;y_TL;x_BL;y_BL;x_BR;y_BR
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_000_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/07/2020 11:00;53.376196;-113.519482;1010.361371;-149.64511;87.639425;-1.541254;3.113651;3.109199;979.131025;0.899647;2.756306;0;IN_ODD;576;506;570;506;562;522;571;523
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_001_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/08/2020 10:00;53.375695;-113.518675;1012.484773;-146.842187;85.369211;2.314608;3.105192;3.101105;986.097565;0.144612;2.783652;0;IN_ODD;538;468;532;469;530;485;539;485
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_002_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/04/2020 13:00;53.373543;-113.518184;1029.335139;-147.050983;82.735459;-6.924945;3.010895;3.00524;1041.380921;-1.536377;3.032691;0;IN_ODD;569;437;563;437;567;456;576;457
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_003_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/05/2020 12:00;53.372509;-113.525899;1023.24113;-138.990552;84.940079;1.69062;2.802694;2.795452;1021.387451;2.280971;3.187063;0;IN_ODD;396;470;390;470;374;491;384;491
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_004_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/07/2020 15:00;53.370106;-113.525337;988.670517;-148.160638;87.837331;-3.396417;2.692684;2.688653;907.9668;0.260178;2.937091;0;IN_ODD;559;511;553;510;548;529;558;530
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_005_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/05/2020 11:00;53.369176;-113.5249;1006.383063;-150.017164;86.003679;-4.059183;2.656576;2.651836;966.07883;-0.704974;3.170069;0;IN_ODD;599;488;593;488;593;509;603;510
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_006_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/05/2020 10:00;53.368478;-113.525954;998.991317;-142.550224;80.972292;-0.101667;2.600296;2.595754;941.827696;-0.563956;3.153145;0;IN_ODD;480;403;473;403;474;424;485;424
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_007_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/06/2020 12:00;53.369259;-113.529932;964.15187;-144.529935;86.573169;-3.00201;2.558727;2.552318;827.525042;2.661323;2.806348;0;IN_ODD;483;485;476;485;455;503;466;503
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_008_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/08/2020 16:00;53.367119;-113.527083;933.816726;-145.204208;85.550799;0.170646;2.508517;2.50554;728.00029;-0.889636;2.508311;0;IN_ODD;524;468;517;468;520;485;531;485
images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_009_FLSim.jpg;1024;1024;flight_simulator;Lard_V2_FLSim;CYEG-2-20-12-30__10-smpl__10h40;CYEG;20;;;;01/05/2020 11:00;53.3679;-113.530078;978.380181;-146.362377;86.380507;-2.276638;2.487638;2.48235;874.205855;1.758617;3.049434;0;IN_ODD;519;486;513;486;497;506;509;507
