seq_idx,row_index,mode,along_track_m,height_agl_m,runway_area_px,mask_iou_vs_gt,yaw_gt,lat_gt,yaw_est,lat_est,yaw_err_deg,lat_err_m,dice,n_coarse,n_refine,refine_method,init_yaw,init_lat
0,6,gt,4807.047720222587,287.0690817408,252.0,0.6532258064516129,-142.550224,40.16793467144851,-142.550224,48.91793467144851,0.0,8.75,0.36230637089176015,639,0,gd,-142.550224,40.16793467144851
1,7,gt,4726.594082977713,252.22963280160002,504.0,0.0,-144.529935,-226.65809690485517,-155.029935,-319.15809690485514,-10.5,-92.49999999999997,1.373148100677002e-08,639,0,gd,-144.529935,-226.65809690485517
2,10,gt,4435.6800882995285,238.6237360104,264.0,0.0,-148.336806,-24.712904050474954,-158.836806,-117.21290405047495,-10.5,-92.5,2.050505740098347e-08,639,0,gd,-148.336806,-24.712904050474954
3,12,gt,3955.005668294659,176.1987099336,234.0,0.0,-150.387341,26.55495925155763,-160.887341,-65.94504074844237,-10.5,-92.5,2.3735134157127278e-09,639,0,gd,-150.387341,26.55495925155763
4,13,gt,3917.910129833741,216.27775316880002,322.0,0.0,-137.259597,-44.984518476238215,-147.759597,-137.4845184762382,-10.5,-92.5,1.6808558704649974e-08,639,0,gd,-137.259597,-44.984518476238215
5,14,gt,3518.9385419033815,205.82017733520001,375.0,0.025560324272770624,-142.044427,-25.848923176561083,-142.044427,-22.098923176561087,0.0,3.7499999999999964,0.04913811070377201,639,0,gd,-142.044427,-25.848923176561083
6,15,gt,3209.886283731933,174.20831960400002,400.0,0.6903409090909091,-143.710758,4.987755228685005,-143.585758,14.987755228685003,0.125,9.999999999999998,0.551849550162715,639,0,gd,-143.710758,4.987755228685005
7,16,gt,2826.626055985027,176.5420247664,928.0,0.7191489361702128,-144.794881,-106.15864348135521,-144.669881,-96.15864348135523,0.125,9.999999999999986,0.39874456775211414,639,0,gd,-144.794881,-106.15864348135521
8,17,gt,2811.314032383059,201.74839010160002,850.0,0.7258347978910369,-146.776377,57.89536949411933,-146.901377,47.89536949411933,-0.125,-10.0,0.6306814296497667,639,0,gd,-146.776377,57.89536949411933
9,18,gt,2553.280732459901,156.011915052,780.0,0.75390625,-146.873217,49.224372669000765,-146.998217,44.224372669000765,-0.125,-5.0,0.6596596686614878,639,0,gd,-146.873217,49.224372669000765
10,19,gt,2512.8361069744237,149.00900094000002,780.0,0.8036697247706422,-150.738416,58.95839758382066,-151.113416,30.208397583820663,-0.375,-28.75,0.6853078576823646,639,0,gd,-150.738416,58.95839758382066
11,21,gt,2293.3833137070255,166.5032307216,858.0,0.8097281831187411,-146.328371,2.116865623602407,-146.328371,-0.3831343763975923,0.0,-2.499999999999999,0.7267902567493482,639,0,gd,-146.328371,2.116865623602407
12,22,gt,1737.6621024137887,98.781120192,957.0,0.8248587570621468,-142.979487,16.77431782540574,-142.979487,17.39931782540574,0.0,0.625,0.7038393032687006,639,0,gd,-142.979487,16.77431782540574
13,24,gt,1320.1128153159796,73.96328616,1512.0,0.8507462686567164,-147.012983,-28.495670935158252,-147.137983,-33.495670935158245,-0.125,-4.999999999999993,0.7584174849104984,639,0,gd,-147.012983,-28.495670935158252
14,25,gt,1287.7827180578097,79.12865464560001,2301.0,0.7747252747252747,-145.388988,68.65986301989663,-145.388988,64.28486301989663,0.0,-4.375,0.47343190566207516,639,0,gd,-145.388988,68.65986301989663
15,27,gt,919.5996835510979,67.0391774784,3500.0,0.6677333333333333,-149.268512,45.65980843144796,-149.268512,41.28480843144796,0.0,-4.375,0.35113778024979253,639,0,gd,-149.268512,45.65980843144796
16,28,gt,668.6212680812915,50.534531798399996,4424.0,0.7096327096327096,-136.839037,-26.06403128162125,-136.964037,-28.564031281621254,-0.125,-2.5000000000000036,0.5409648532120358,639,0,gd,-136.839037,-26.06403128162125
17,29,gt,347.0205138533829,32.2471874232,11248.0,0.6125155408205554,-143.755015,11.78591956596462,-143.755015,11.160919565964619,0.0,-0.6250000000000018,0.6935735651957701,639,0,gd,-143.755015,11.78591956596462
