seq_idx,row_index,mode,along_track_m,height_agl_m,runway_area_px,mask_iou_vs_gt,yaw_gt,lat_gt,yaw_est,lat_est,yaw_err_deg,lat_err_m,dice,n_coarse,n_refine,refine_method,init_yaw,init_lat
0,6,sequential,4807.047720222587,287.0690817408,252.0,0.6532258064516129,-142.550224,40.16793467144851,-142.550224,45.16793467144851,0.0,5.0,0.36191601778931026,174,0,gd,-142.550224,40.16793467144851
1,7,sequential,4726.594082977713,252.22963280160002,504.0,0.0,-144.529935,-226.65809690485517,-143.550224,49.79293467144851,0.9797110000000089,276.4510315763037,1.3539456447233065e-08,174,0,gd,-142.550224,45.16793467144851
2,10,sequential,4435.6800882995285,238.6237360104,264.0,0.0,-148.336806,-24.712904050474954,-144.175224,50.41793467144851,4.16158200000001,75.13083872192347,1.5554547658319056e-08,174,0,gd,-143.550224,49.79293467144851
3,12,sequential,3955.005668294659,176.1987099336,234.0,0.0,-150.387341,26.55495925155763,-144.050224,54.04293467144851,6.337117000000006,27.487975419890883,2.30372968440994e-09,174,0,gd,-144.175224,50.41793467144851
4,13,sequential,3917.910129833741,216.27775316880002,322.0,0.0,-137.259597,-44.984518476238215,-145.300224,47.79293467144851,-8.040626999999972,92.77745314768673,2.2094686113246276e-08,174,0,gd,-144.050224,54.04293467144851
5,14,sequential,3518.9385419033815,205.82017733520001,375.0,0.025560324272770624,-142.044427,-25.848923176561083,-144.925224,45.79293467144851,-2.8807969999999727,71.6418578480096,2.7082068129837636e-08,174,0,gd,-145.300224,47.79293467144851
6,15,sequential,3209.886283731933,174.20831960400002,400.0,0.6903409090909091,-143.710758,4.987755228685005,-143.675224,39.54293467144851,0.03553400000001261,34.55517944276351,0.34405386279997174,174,0,gd,-144.925224,45.79293467144851
7,16,sequential,2826.626055985027,176.5420247664,928.0,0.7191489361702128,-144.794881,-106.15864348135521,-142.675224,33.91793467144851,2.119657000000018,140.07657815280373,0.31207903718914065,174,0,gd,-143.675224,39.54293467144851
8,17,sequential,2811.314032383059,201.74839010160002,850.0,0.7258347978910369,-146.776377,57.89536949411933,-142.425224,28.292934671448513,4.351153000000011,-29.602434822670816,1.337535837208084e-08,174,0,gd,-142.675224,33.91793467144851
9,18,sequential,2553.280732459901,156.011915052,780.0,0.75390625,-146.873217,49.224372669000765,-143.175224,33.29293467144851,3.697993000000025,-15.931437997552251,1.4367594133525794e-08,174,0,gd,-142.425224,28.292934671448513
10,19,sequential,2512.8361069744237,149.00900094000002,780.0,0.8036697247706422,-150.738416,58.95839758382066,-142.675224,29.292934671448513,8.063192000000015,-29.66546291237215,1.7222163673976227e-08,174,0,gd,-143.175224,33.29293467144851
11,21,sequential,2293.3833137070255,166.5032307216,858.0,0.8097281831187411,-146.328371,2.116865623602407,-143.925224,34.29293467144851,2.4031470000000184,32.176069047846106,0.0008541604719869925,174,0,gd,-142.675224,29.292934671448513
12,22,sequential,1737.6621024137887,98.781120192,957.0,0.8248587570621468,-142.979487,16.77431782540574,-142.800224,28.667934671448513,0.17926300000002016,11.893616846042775,0.6925776831919574,174,0,gd,-143.925224,34.29293467144851
13,24,sequential,1320.1128153159796,73.96328616,1512.0,0.8507462686567164,-147.012983,-28.495670935158252,-144.050224,34.91793467144851,2.9627590000000055,63.413605606606765,0.3934195948071411,174,0,gd,-142.800224,28.667934671448513
14,25,sequential,1287.7827180578097,79.12865464560001,2301.0,0.7747252747252747,-145.388988,68.65986301989663,-145.300224,41.16793467144851,0.08876400000002604,-27.49192834844812,0.29548562402745965,174,0,gd,-144.050224,34.91793467144851
15,27,sequential,919.5996835510979,67.0391774784,3500.0,0.6677333333333333,-149.268512,45.65980843144796,-146.550224,46.79293467144851,2.718288000000001,1.13312624000055,0.03508653639121013,174,0,gd,-145.300224,41.16793467144851
16,28,sequential,668.6212680812915,50.534531798399996,4424.0,0.7096327096327096,-136.839037,-26.06403128162125,-145.550224,45.79293467144851,-8.711186999999995,71.85696595306976,8.466815839146873e-09,174,0,gd,-146.550224,46.79293467144851
17,29,sequential,347.0205138533829,32.2471874232,11248.0,0.6125155408205554,-143.755015,11.78591956596462,-144.300224,39.54293467144851,-0.5452089999999998,27.757015105483895,0.30437099183757943,174,0,gd,-145.550224,45.79293467144851
