seq_idx,row_index,mode,along_track_m,height_agl_m,runway_area_px,mask_iou_vs_gt,yaw_gt,lat_gt,yaw_est,lat_est,yaw_err_deg,lat_err_m,dice,n_coarse,n_refine,refine_method,init_yaw,init_lat
0,6,sequential,4807.047720222587,287.0690817408,252.0,0.6532258064516129,-142.550224,40.16793467144851,-142.550224,45.16793467144851,0.0,5.0,0.36191601778931026,174,1,lm,-142.550224,40.16793467144851
1,7,sequential,4726.594082977713,252.22963280160002,504.0,0.0,-144.529935,-226.65809690485517,-143.40859301341985,49.79293467144851,1.1213419865801484,276.4510315763037,1.351979698725022e-08,174,2,lm,-142.550224,45.16793467144851
2,10,sequential,4435.6800882995285,238.6237360104,264.0,0.0,-148.336806,-24.712904050474954,-144.15859301341985,44.79293467144851,4.178212986580149,69.50583872192347,1.5425997119875214e-08,174,1,lm,-143.40859301341985,49.79293467144851
3,12,sequential,3955.005668294659,176.1987099336,234.0,0.0,-150.387341,26.55495925155763,-143.64135644885513,39.54293467144851,6.745984551144858,12.987975419890883,2.3035113803373383e-09,174,2,lm,-144.15859301341985,44.79293467144851
4,13,sequential,3917.910129833741,216.27775316880002,322.0,0.0,-137.259597,-44.984518476238215,-144.89135644885513,36.16793467144851,-7.631759448855121,81.15245314768673,2.1620551197079548e-08,174,1,lm,-143.64135644885513,39.54293467144851
5,14,sequential,3518.9385419033815,205.82017733520001,375.0,0.025560324272770624,-142.044427,-25.848923176561083,-146.14135644885513,34.79293467144851,-4.096929448855121,60.64185784800959,2.7004265970455402e-08,174,1,lm,-144.89135644885513,36.16793467144851
6,15,sequential,3209.886283731933,174.20831960400002,400.0,0.6903409090909091,-143.710758,4.987755228685005,-145.14135644885513,35.16793467144851,-1.430598448855136,30.18017944276351,1.7690396817381095e-08,174,1,lm,-146.14135644885513,34.79293467144851
7,16,sequential,2826.626055985027,176.5420247664,928.0,0.7191489361702128,-144.794881,-106.15864348135521,-143.89135644885513,28.917934671448513,0.9035245511448693,135.07657815280373,0.0236141848367845,174,1,lm,-145.14135644885513,35.16793467144851
8,17,sequential,2811.314032383059,201.74839010160002,850.0,0.7258347978910369,-146.776377,57.89536949411933,-143.64135644885513,26.292934671448513,3.135020551144862,-31.602434822670816,1.1985369278443094e-08,174,1,lm,-143.89135644885513,28.917934671448513
9,18,sequential,2553.280732459901,156.011915052,780.0,0.75390625,-146.873217,49.224372669000765,-144.64135644885513,22.292934671448513,2.2318605511448766,-26.93143799755225,1.2855330483472137e-08,174,1,lm,-143.64135644885513,26.292934671448513
10,19,sequential,2512.8361069744237,149.00900094000002,780.0,0.8036697247706422,-150.738416,58.95839758382066,-145.39135644885513,22.667934671448513,5.347059551144866,-36.29046291237215,1.5853037904972074e-08,174,1,lm,-144.64135644885513,22.292934671448513
11,21,sequential,2293.3833137070255,166.5032307216,858.0,0.8097281831187411,-146.328371,2.116865623602407,-145.89135644885513,23.042934671448513,0.43701455114486976,20.926069047846106,0.7105240737232805,174,1,lm,-145.39135644885513,22.667934671448513
12,22,sequential,1737.6621024137887,98.781120192,957.0,0.8248587570621468,-142.979487,16.77431782540574,-144.21172720573375,16.712799422537532,-1.2322402057337456,-0.06151840286820587,0.11237700636084898,174,8,lm,-145.89135644885513,23.042934671448513
13,24,sequential,1320.1128153159796,73.96328616,1512.0,0.8507462686567164,-147.012983,-28.495670935158252,-145.46172720573375,20.462799422537532,1.5512557942662397,48.95847035769579,0.6203986804895473,174,1,lm,-144.21172720573375,16.712799422537532
14,25,sequential,1287.7827180578097,79.12865464560001,2301.0,0.7747252747252747,-145.388988,68.65986301989663,-146.46172720573375,26.712799422537532,-1.0727392057337397,-41.947063597359104,0.4150377939218197,174,1,lm,-145.46172720573375,20.462799422537532
15,27,sequential,919.5996835510979,67.0391774784,3500.0,0.6677333333333333,-149.268512,45.65980843144796,-147.75709191117534,32.96279942253753,1.51142008882465,-12.697009008910435,0.08686315174642704,174,2,lm,-146.46172720573375,26.712799422537532
16,28,sequential,668.6212680812915,50.534531798399996,4424.0,0.7096327096327096,-136.839037,-26.06403128162125,-148.25709191117534,27.96279942253753,-11.418054911175346,54.02683070415878,8.53424613592452e-09,174,1,lm,-147.75709191117534,32.96279942253753
17,29,sequential,347.0205138533829,32.2471874232,11248.0,0.6125155408205554,-143.755015,11.78591956596462,-145.36237546589982,19.536825568256994,-1.6073604658998306,7.750906002292373,0.38163537793740687,174,12,lm,-148.25709191117534,27.96279942253753
