row_index,image,airport,runway,mask_source,height_agl_m,runway_area_px,mask_iou_vs_gt,yaw_gt,lat_gt,yaw_est,lat_est,yaw_err_deg,lat_err_m,dice,cost,converged,n_coarse,n_refine,height_bin,area_bin
6,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_006_FLSim.jpg,CYEG,20,yolo,287.0690817408,252.0,0.6532258064516129,-142.550224,40.16793467144851,-142.800224,23.167934671448513,-0.25,-17.0,0.3682100791103561,0.005218923091888428,False,867,1,high,low
7,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_007_FLSim.jpg,CYEG,20,yolo,252.22963280160002,504.0,0.0,-144.529935,-226.65809690485517,-146.279935,-207.65809690485517,-1.75,19.0,1.3422479093242138e-08,0.013411890715360641,False,867,1,high,low
10,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_010_FLSim.jpg,CYEG,20,yolo,238.6237360104,264.0,0.0,-148.336806,-24.712904050474954,-147.336806,-42.712904050474954,1.0,-18.0,1.9529424687924603e-08,0.007711119018495083,False,867,1,high,low
12,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_012_FLSim.jpg,CYEG,20,yolo,176.1987099336,234.0,0.0,-150.387341,26.55495925155763,-150.637341,1.55495925155763,-0.25,-25.0,2.3646105606992197e-09,0.10456870496273041,False,867,1,mid,low
13,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_013_FLSim.jpg,CYEG,20,yolo,216.27775316880002,322.0,0.0,-137.259597,-44.984518476238215,-139.259597,-38.98451847623821,-2.0,6.000000000000007,1.6018502561145956e-08,0.008971452713012695,False,867,1,high,low
14,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_014_FLSim.jpg,CYEG,20,yolo,205.82017733520001,375.0,0.025560324272770624,-142.044427,-25.848923176561083,-141.9433143017579,-21.848923176561087,0.10111269824210467,3.9999999999999964,0.044371537303182086,0.007129231467843056,False,867,3,high,low
15,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_015_FLSim.jpg,CYEG,20,yolo,174.20831960400002,400.0,0.6903409090909091,-143.710758,4.987755228685005,-143.460758,25.987755228685003,0.25,21.0,0.5503306413945842,0.005410357378423214,False,867,1,mid,low
16,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_016_FLSim.jpg,CYEG,20,yolo,176.5420247664,928.0,0.7191489361702128,-144.794881,-106.15864348135521,-144.54122082748276,-86.15864348135523,0.25366017251724315,19.999999999999986,0.40074343272450164,0.00920103769749403,False,867,2,high,mid
17,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_017_FLSim.jpg,CYEG,20,yolo,201.74839010160002,850.0,0.7258347978910369,-146.776377,57.89536949411933,-147.01875555422728,35.89536949411933,-0.2423785542272867,-22.0,0.6394378652937075,0.004584712907671928,False,867,2,high,mid
18,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_018_FLSim.jpg,CYEG,20,yolo,156.011915052,780.0,0.75390625,-146.873217,49.224372669000765,-147.12019745947055,34.224372669000765,-0.24698045947053515,-15.0,0.6709485724673918,0.004373905714601278,False,867,3,mid,mid
19,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_019_FLSim.jpg,CYEG,20,yolo,149.00900094000002,780.0,0.8036697247706422,-150.738416,58.95839758382066,-150.97675317490933,37.86990123020977,-0.23833717490933282,-21.088496353610893,0.6855465404137893,0.0027008638717234135,False,867,2,mid,mid
21,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_021_FLSim.jpg,CYEG,20,yolo,166.5032307216,858.0,0.8097281831187411,-146.328371,2.116865623602407,-146.578371,-13.883134376397592,-0.25,-16.0,0.7289412915668539,0.0036522208247333765,False,867,1,mid,mid
22,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_022_FLSim.jpg,CYEG,20,yolo,98.781120192,957.0,0.8248587570621468,-142.979487,16.77431782540574,-142.979487,17.77431782540574,0.0,1.0,0.7038393032687006,0.004931892734020948,False,867,1,mid,mid
24,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_024_FLSim.jpg,CYEG,20,yolo,73.96328616,1512.0,0.8507462686567164,-147.012983,-28.495670935158252,-147.262983,-37.49567093515825,-0.25,-9.0,0.7590079320878601,0.0035478146746754646,False,867,1,low,mid
25,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_025_FLSim.jpg,CYEG,20,yolo,79.12865464560001,2301.0,0.7747252747252747,-145.388988,68.65986301989663,-145.388988,64.65986301989663,0.0,-4.0,0.47343190566207516,0.016743652522563934,False,867,1,low,high
27,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_027_FLSim.jpg,CYEG,20,yolo,67.0391774784,3500.0,0.6677333333333333,-149.268512,45.65980843144796,-149.24432948042656,40.65980843144796,0.024182519573429317,-5.0,0.3499858296502249,0.03890246897935867,False,867,2,low,high
28,images/flsim/CYEG/CYEG-2-20-12-30__10-smpl__10h40_028_FLSim.jpg,CYEG,20,yolo,50.534531798399996,4424.0,0.7096327096327096,-136.839037,-26.06403128162125,-137.089037,-30.064031281621254,-0.25,-4.0000000000000036,0.540290496606112,0.034286580979824066,False,867,1,low,high
